bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-01_dwi	1	[0.0, 1000.0]	[1000.0]	0.1742	0.0763	0.0743	0.0226	0.4024	0.4969	0.0	0.0	1783.4818	437.9024	1.9548	92	98.9247311827957	0.7999	41.5129	15.2714	2.4761	6.15	6.46	6.46	688.28	4851.31	4111.01	3336.59	174.6733	4.4478	25.3523	7.0	857964.0	2.0	100.0	74.8099	10.6152	133.4342	434.7503	342.0	190612.0	181.0	1074.0	291.3413	46.4352	48.9259	289.4347	274.0	53335.0	191.0	422.0	108.0712
sub-03_dwi	1	[0.0, 1000.0]	[1000.0]	0.2434	0.04	0.0368	0.0025	0.3923	0.4741	0.0	0.0	2204.2791	528.4971	2.6236	92	98.9247311827957	0.4695	33.3585	15.4239	2.3111	7.97	7.99	7.99	608.37	4260.65	3902.31	3153.48	130.4417	4.4478	23.466	7.0	880249.0	2.0	95.0	65.6034	15.2449	127.5038	437.2338	370.0	168327.0	213.0	912.0	251.5493	45.2909	47.4433	322.722	302.0	39137.0	229.0	468.0	120.7458
sub-05_dwi	1	[0.0, 1000.0]	[1000.0]	0.2551	0.0708	0.0505	0.0114	0.4085	0.4906	0.0	0.0	1992.5383	542.8027	8.5002	92	98.9247311827957	0.6435	41.5129	17.276	2.9714	8.45	8.73	8.73	688.34	4790.93	4037.51	3365.47	259.7232	7.413	30.1501	9.0	859290.0	3.0	126.0	86.4913	16.1273	152.708	503.8533	416.0	189286.0	183.0	1097.0	325.8183	52.8149	63.7519	382.9911	355.0	54875.0	260.0	552.0	165.6488
sub-06_dwi	1	[0.0, 1000.0]	[1000.0]	0.1603	0.0328	0.0296	0.0055	0.3824	0.4822	0.0	0.0	2121.0142	482.9344	2.6462	62	98.41269841269842	0.8169	35.5825	16.5319	2.6412	8.56	8.65	8.65	755.02	6000.82	5210.27	4364.5	166.4435	5.9304	27.1943	8.0	882850.0	2.0	115.0	75.7128	9.3796	154.1906	498.8356	392.0	165726.0	201.0	1191.0	330.2918	52.9848	51.8911	339.2844	320.0	40638.0	237.0	494.0	121.0102
sub-08_dwi	1	[0.0, 1000.0]	[1000.0]	0.1296	0.059	0.0542	0.0138	0.3783	0.4811	0.0	0.0	1857.84	427.4716	2.3907	92	98.9247311827957	0.1751	46.702	15.3024	2.3111	6.46	6.66	6.66	564.62	4048.01	3354.96	3045.85	271.2179	4.4478	24.4512	7.0	894238.0	2.0	102.0	67.9199	10.89	136.3994	441.9675	351.0	154338.0	148.0	1061.0	292.241	33.8319	59.3041	311.4234	296.0	39807.0	190.0	470.0	125.2204
sub-09_dwi	1	[0.0, 1000.0]	[1000.0]	0.0394	0.0249	0.0244	0.0031	0.3848	0.4777	0.0	0.0	2260.3347	571.0733	1.3228	92	98.9247311827957	0.883	50.4085	15.46	2.6412	5.83	5.91	5.91	647.19	4391.91	4153.02	3196.14	192.2518	4.4478	25.2052	7.0	874232.0	2.0	94.0	85.6482	12.1999	142.3298	474.0676	384.0	174344.0	208.0	1086.0	306.1213	49.1643	51.8911	330.3444	314.0	49965.0	222.0	481.0	116.0273
sub-10_dwi	1	[0.0, 1000.0]	[1000.0]	0.0468	0.0299	0.0301	0.0109	0.4235	0.5175	0.0	0.0	1328.3981	327.6031	1.4202	62	98.41269841269842	0.8701	68.1997	15.9737	2.6412	3.18	3.36	3.36	843.64	6568.55	5648.17	4980.66	142.6375	5.9304	31.6634	8.0	853673.0	3.0	136.0	80.4715	11.3398	133.4342	417.5851	332.0	194903.0	150.0	1014.0	284.353	46.8452	51.8911	286.0885	269.0	51824.0	179.0	426.0	126.1222
sub-11_dwi	1	[0.0, 1000.0]	[1000.0]	0.0527	0.0262	0.0255	0.007	0.403	0.4823	0.0	0.0	2068.9836	533.5836	1.1491	92	98.9247311827957	0.8316	44.4781	15.8437	2.6412	7.61	7.65	7.65	625.13	4500.85	3777.62	3209.92	165.3489	5.9304	27.5157	8.0	870185.0	3.0	114.0	83.7241	18.7368	127.5038	455.4284	385.0	178391.0	153.0	987.0	281.0943	40.0173	56.3389	352.7327	332.0	53421.0	227.0	517.0	154.3802
sub-12_dwi	1	[0.0, 1000.0]	[1000.0]	0.0504	0.0212	0.0194	0.0004	0.3806	0.4875	0.0	0.0	2270.2908	431.8471	2.0642	62	98.41269841269842	0.7678	48.9259	16.9445	3.7967	6.25	6.19	6.19	761.94	5927.19	5295.53	4404.22	305.0345	7.413	27.9088	8.0	877025.0	2.0	113.0	84.0188	10.3908	170.4993	492.756	390.0	171551.0	130.0	1214.0	346.1223	42.1102	62.2693	343.8357	315.0	44289.0	217.0	535.0	160.6654
sub-13_dwi	1	[0.0, 1000.0]	[1000.0]	0.2011	0.0884	0.0716	0.0184	0.4034	0.4957	0.0	0.0	1733.6168	412.8071	4.6223	62	98.41269841269842	0.8344	38.5477	16.1489	2.8063	7.07	7.54	7.54	858.5	6378.66	5626.86	4930.28	162.9243	5.9304	29.0075	9.0	865570.0	3.0	116.0	78.3809	8.0934	155.6732	485.0984	382.0	183006.0	176.0	1167.0	318.4315	43.7618	60.7867	322.6539	308.0	47222.0	191.0	466.0	136.2581
