trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0140143	0.05582
0.0001	-0.2185	0.2198	-0.00445058959258554	0.0008237954069413235	4.537856055185256e-05	2.76936173	74.71528625	2.07858148	0.7043881780039358	0.0167776	0.07163
-0.0172	-0.1592	0.2405	-0.0048624872960562025	0.0009861110273767962	0.0002024581932313422	1.33518076	36.02216721	1.14683344	0.13386464782928123	0.0145647	0.04899
-0.038	0.1292	-0.1497	0.000804596785169386	0.0009930923443847736	-0.00038048177693476387	2.86234093	77.22379303	2.03484251	1.0122502684199837	0.00722682	0.01144
-0.0196	0.1039	-0.045	-0.0004974188368183839	0.0010140362954087054	-0.0001186823891356144	1.48946571	40.18465805	1.16684072	0.22763794804054252	0.0059005	0.00465
0.0236	-0.0679	-0.0783	-0.0011344640137963143	0.0013840460968315032	-0.0002513274122871834	1.47087395	39.68306732	1.17587892	0.3052850000776149	0.00676775	0.00707
0.0371	-0.1052	-0.0538	-0.001843067690106012	0.0018989182261698304	-0.00013264502315156904	1.22542989	33.06117249	1.02339879	0.1424079097391819	0.00753391	0.00868
-0.0304	0.0236	-0.0428	-0.0001972222054753592	0.0014049900478554352	-0.0006928957130417488	1.62189436	43.75748444	1.28269312	0.3423012176417614	0.00692087	0.00664
-0.0231	-0.1056	-0.0045	-0.0013805554383275148	0.0018168877513260971	-0.00039793506945470715	1.5529623	41.89775085	1.19449747	0.269309578995493	0.00526083	0.00116
0.0138	-0.0654	0.0324	-0.0013194689145077131	0.001673770752662562	-0.00014660765716752367	1.13017488	30.49126244	0.94953003	0.136776546738526	0.00523561	0.00084
-0.0104	-0.1479	0.0497	-0.0022898719786165604	0.00217293491873294	-0.000778416846389471	1.24559557	33.60522842	1.03772792	0.22906882097005865	0.00605136	0.00417
-0.0239	-0.0348	0.099	-0.0022985986248765322	0.002282890661608583	-0.0007906341511534313	1.27684009	34.44818115	1.01886937	0.1824449846949788	0.00534803	0.00446
-0.0163	-0.063	0.056	-0.002844886680750757	0.0021991148575128553	-0.0005201081170943102	1.13962853	30.746315	0.93796187	0.12382949470145369	0.0053553	0.00367
0.0397	-0.0203	-0.0948	0.0003054326190990077	-0.00037350045992678646	0.00027750735106709843	1.70098102	45.89118195	1.32388198	0.5755275042725407	0.003259	0.00063
0.0202	-0.0131	-0.0667	-0.0004956735075663896	-0.0003089232776029963	0.00043458698374658803	1.05703616	28.51803589	0.96699376	0.10593814708343384	0.00280601	0.00011
