trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00387031	0.00208
0.0004	0.0451	0.0475	-0.00027925268031909274	8.028514559173915e-05	-2.6179938779914945e-05	1.13290298	28.67540359	1.03021234	0.11228588823453733	0.0043835	0.00179
0.0079	0.0138	0.0812	-0.000635299847725936	-8.028514559173915e-05	-3.839724354387525e-05	1.0658195	26.97742271	0.99442658	0.09894173816771408	0.00546294	0.00228
0.0077	-0.0374	0.0634	-0.0007068583470577034	-3.490658503988659e-05	9.599310885968811e-05	1.01226735	25.62194061	0.95558117	0.08176637061435917	0.00476867	0.00182
0.0034	-0.0495	0.0563	-0.00062482787221397	5.759586531581287e-05	-0.00018675022996339323	0.97634	24.71256828	0.92339491	0.046363813201125696	0.0042246	0.00066
-0.0104	-0.0209	0.0318	-0.0004991641660703782	0.0001186823891356144	-0.0002897246558310587	0.99967831	25.30329514	0.93780121	0.08138623279155294	0.00376624	0.00026
-0.0038	-0.0351	0.0196	-0.0006108652381980154	0.00016929693744344995	-0.00029496064358704166	1.00944519	25.55051041	0.94211799	0.04137758040957279	0.00396061	0.00034
0.0226	-0.0152	0.0279	-0.0005794493116621174	0.00018500490071139895	-0.00021642082724729686	1.07438743	27.19429016	0.9853512	0.060883185307179594	0.00381064	0.00031
0.0324	0.0162	0.0677	-0.00039793506945470715	0.00011344640137963142	-0.000317649923862968	1.1392684	28.83652115	1.01501294	0.09871509190774243	0.00460988	0.00088
0.0054	-0.0205	0.0921	-0.0005183627878423159	0.00023387411976724014	-0.0003647738136668148	1.06201315	26.88108063	0.97585178	0.1024989663289532	0.0050422	0.00043
-0.0055	-0.0251	0.0428	-0.00040317105721069014	0.00028797932657906436	-0.00022340214425527416	1.05691147	26.75194931	0.96634062	0.08033343034274952	0.00424546	0.00043
-0.0133	-0.005	0.0302	-0.00034208453339088857	0.0003822271061867582	-0.0001605702911834783	1.06437171	26.94077873	0.99487405	0.05140830782496456	0.00352442	0.00023
0.0006	0.0591	0.0457	-0.00023387411976724014	0.00015184364492350666	8.726646259971648e-06	1.11101055	28.12127304	1.00760415	0.11889454061651748	0.00415391	0.00026
0.0175	0.0142	0.0682	-0.00032812189937493397	0.0001361356816555577	-0.00021118483949131387	1.03314185	26.15030479	0.97273686	0.1007933614313464	0.00417572	0.00046
0.0075	0.0011	0.0439	-0.0001186823891356144	0.0002443460952792061	-0.00015009831567151235	0.89786828	22.72633743	0.89901058	0.06633682238413847	0.00348878	0.0002
-0.0149	-0.0286	0.0576	-0.00022689280275926284	0.00042760566673861073	-6.806784082777885e-05	0.96636581	24.4601078	0.93362228	0.08447502299633931	0.00404871	0.00031
0.0015	-0.0159	0.0614	-0.0003054326190990077	0.00017278759594743863	5.061454830783555e-05	0.95281762	24.11718369	0.92640272	0.05550201381332657	0.00390321	0.00026
